epoch,accuracy,loss,val_accuracy,val_loss
0,0.9742083549499512,0.033757284283638,0.9854166507720947,0.016638807952404022
1,0.9891666769981384,0.01406079065054655,0.9900833368301392,0.01230848953127861
2,0.9913541674613953,0.010882783681154251,0.9915833473205566,0.011497849598526955
3,0.9929999709129333,0.008661222644150257,0.9903333187103271,0.009409266524016857
4,0.9942916631698608,0.007390051614493132,0.9915833473205566,0.008609666489064693
5,0.9949583411216736,0.006412154994904995,0.9904999732971191,0.009061521850526333
6,0.9962499737739563,0.005385481286793947,0.9917500019073486,0.009406743571162224
7,0.9970208406448364,0.004743223078548908,0.9920833110809326,0.008025444112718105
8,0.9974791407585144,0.004095937125384808,0.9918333292007446,0.00799010880291462
9,0.9977083206176758,0.003674871986731887,0.9931666851043701,0.007543203886598349
10,0.9979791641235352,0.0033805803395807743,0.9916666746139526,0.007704725489020348
11,0.9982916712760925,0.003010368440300226,0.9931666851043701,0.007469844073057175
12,0.9981666803359985,0.0028733687940984964,0.9920833110809326,0.007876849733293056
13,0.9987708330154419,0.0025462748017162085,0.9913333058357239,0.008965048007667065
14,0.9988541603088379,0.002644424792379141,0.9916666746139526,0.00852977018803358
15,0.9990624785423279,0.0021365899307872057,0.9927500486373901,0.00858430513727665
16,0.9991666674613953,0.001983874449267745,0.9930000305175781,0.008165125995039463
17,0.9992708563804626,0.0018796135567420726,0.9940000176429749,0.008540543593764305
18,0.9994791746139526,0.0016359729862886071,0.9934166669845581,0.008333139777123928
19,0.9994791746139526,0.0016093826889613867,0.9943333268165588,0.0082021550388937
20,0.9995625019073486,0.0014628613866647487,0.996833324432373,0.004839142203986883
21,0.9996250276565552,0.0013584764220046997,0.9954166412353516,0.006884924046128035
22,0.9997083549499512,0.001279128303736031,0.9955000281333923,0.0075918355884559155
23,0.9997708792686462,0.0011373648915811186,0.9960833191871643,0.006364251919627905
24,0.999833345413208,0.0010700920836172104,0.9958333373069763,0.007513786859869003
25,0.9998541479110718,0.0009917122871425452,0.9961667060852051,0.0062709925738573074
26,0.9998541479110718,0.0009428780285981594,0.9961667060852051,0.007213004287004948
27,0.9998958110809326,0.0008688732264003148,0.9965000152587891,0.005488355841815472
28,0.9999166135787964,0.0008130741258261206,0.9960000510215759,0.007078377369582653
29,0.9999166135787964,0.000767886470347106,0.996666669845581,0.005329102192670107
30,0.9999582767486572,0.0006769704572674334,0.996666669845581,0.0063537081182591915
31,0.9999582767486572,0.0006477984989761713,0.996666669845581,0.006756933477610588
32,0.9999791383743286,0.0006086186947637799,0.996666669845581,0.006269937191218376
33,0.9999791383743286,0.0005718932438119903,0.996666669845581,0.007190212536603212

